Wavenumber (cm⁻¹),Importance,sample_type,train_percentage,test_name,target_variable,accuracy,model,search_type
2690.229146863405,0.0008209745081445,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2688.300667188234,0.0008745721150547,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2686.372187513064,0.0008430062107634,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2684.443707837893,0.0008491401336684,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2682.515228162722,0.0009495093912626,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2680.586748487551,0.0010131602672151,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2678.65826881238,0.0010794586661487,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2676.729789137209,0.0011111600328666,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2674.801309462038,0.0010574609409639,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2672.872829786867,0.0010650493662191,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2670.944350111697,0.0011375533126579,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2669.015870436525,0.001148120502281,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2667.087390761355,0.001129812860929,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2665.158911086184,0.0011304146430066,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2663.230431411013,0.0011328744265328,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2661.301951735842,0.0011816943350184,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
2659.373472060671,0.0013016821245204,PLASMA,0.6,XGBoost (BayesSearchCV),group_fam,0.8365,XGBoost,BayesSearchCV
